"HCC001","HIV/AIDS"
"HCC002","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
"HCC006","Opportunistic Infections"
"HCC008","Metastatic Cancer and Acute Leukemia"
"HCC009","Lung and Other Severe Cancers"
"HCC010","Lymphoma and Other Cancers"
"HCC011","Colorectal, Bladder, and Other Cancers"
"HCC012","Breast, Prostate, and Other Cancers and Tumors"
"HCC017","Diabetes with Acute Complications"
"HCC018","Diabetes with Chronic Complications"
"HCC019","Diabetes without Complication"
"HCC021","Protein-Calorie Malnutrition"
"HCC022","Morbid Obesity"
"HCC023","Other Significant Endocrine and Metabolic Disorders"
"HCC027","End-Stage Liver Disease"
"HCC028","Cirrhosis of Liver"
"HCC029","Chronic Hepatitis"
"HCC033","Intestinal Obstruction/Perforation"
"HCC034","Chronic Pancreatitis"
"HCC035","Inflammatory Bowel Disease"
"HCC039","Bone/Joint/Muscle Infections/Necrosis"
"HCC040","Rheumatoid Arthritis and Inflammatory Connective Tissue Disease"
"HCC046","Severe Hematological Disorders"
"HCC047","Disorders of Immunity"
"HCC048","Coagulation Defects and Other Specified Hematological Disorders"
"HCC051","Dementia With Complications"
"HCC052","Dementia Without Complication"
"HCC054","Substance Use with Psychotic Complications"
"HCC055","Substance Use Disorder, Moderate/Severe, or Substance Use with Complications"
"HCC056","Substance Use Disorder, Mild, Except Alcohol and Cannabis"
"HCC057","Schizophrenia"
"HCC058","Reactive and Unspecified Psychosis"
"HCC059","Major Depressive, Bipolar, and Paranoid Disorders"
"HCC060","Personality Disorders"
"HCC070","Quadriplegia"
"HCC071","Paraplegia"
"HCC072","Spinal Cord Disorders/Injuries"
"HCC073","Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease"
"HCC074","Cerebral Palsy"
"HCC075","Myasthenia Gravis/Myoneural Disorders and Guillain-Barre Syndrome/Inflammatory and Toxic Neuropathy"
"HCC076","Muscular Dystrophy"
"HCC077","Multiple Sclerosis"
"HCC078","Parkinson's and Huntington's Diseases"
"HCC079","Seizure Disorders and Convulsions"
"HCC080","Coma, Brain Compression/Anoxic Damage"
"HCC082","Respirator Dependence/Tracheostomy Status"
"HCC083","Respiratory Arrest"
"HCC084","Cardio-Respiratory Failure and Shock"
"HCC085","Congestive Heart Failure"
"HCC086","Acute Myocardial Infarction"
"HCC087","Unstable Angina and Other Acute Ischemic Heart Disease"
"HCC088","Angina Pectoris"
"HCC096","Specified Heart Arrhythmias"
"HCC099","Intracranial Hemorrhage"
"HCC100","Ischemic or Unspecified Stroke"
"HCC103","Hemiplegia/Hemiparesis"
"HCC104","Monoplegia, Other Paralytic Syndromes"
"HCC106","Atherosclerosis of the Extremities with Ulceration or Gangrene"
"HCC107","Vascular Disease with Complications"
"HCC108","Vascular Disease"
"HCC110","Cystic Fibrosis"
"HCC111","Chronic Obstructive Pulmonary Disease"
"HCC112","Fibrosis of Lung and Other Chronic Lung Disorders"
"HCC114","Aspiration and Specified Bacterial Pneumonias"
"HCC115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"HCC122","Proliferative Diabetic Retinopathy and Vitreous Hemorrhage"
"HCC124","Exudative Macular Degeneration"
"HCC134","Dialysis Status"
"HCC135","Acute Renal Failure"
"HCC136","Chronic Kidney Disease, Stage 5"
"HCC137","Chronic Kidney Disease, Severe (Stage 4)"
"HCC138","Chronic Kidney Disease, Moderate (Stage 3)"
"HCC157","Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
"HCC158","Pressure Ulcer of Skin with Full Thickness Skin Loss"
"HCC159","Pressure Ulcer of Skin with Partial Thickness Skin Loss"
"HCC161","Chronic Ulcer of Skin, Except Pressure"
"HCC162","Severe Skin Burn or Condition"
"HCC166","Severe Head Injury"
"HCC167","Major Head Injury"
"HCC169","Vertebral Fractures without Spinal Cord Injury"
"HCC170","Hip Fracture/Dislocation"
"HCC173","Traumatic Amputations and Complications"
"HCC176","Complications of Specified Implanted Device or Graft"
"HCC186","Major Organ Transplant or Replacement Status"
"HCC188","Artificial Openings for Feeding or Elimination"
"HCC189","Amputation Status, Lower Limb/Amputation Complications"
